"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"VisualSearch GmbH","DI Dr. Peter Gemeiner","","Wagramer Straße 147/5/27","1220","Wien","Softwareentwicklung/E-Commerce","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.visualsearch.at","","","","",""
"Tailored Apps GmbH","Lorenz Edtmayer, Mag. Dr. Maximilian Nimmervoll","","Heiligenstädter Straße 31","1190","Wien","App-Entwicklung","","Recherche","WKO/FirmenABC","2026-08-16","https://tailored-apps.com","","","","",""
"WH-Interactive GmbH","André Reininger / Alexandra Machacek","+43 1 526 53 53-0","Renngasse 5/4","1010","Wien","Webentwicklung/Digitalagentur","","Recherche","Firmenwebsite","2026-08-16","https://www.wh-i.at","","","","",""
"Resonanz Digital GmbH","David Bongard, Mag. Barbara Schussek","+43 1 890 61 10","Rotenturmstraße 27/2","1010","Wien","Webentwicklung (WordPress/Webshops)","","Recherche","WKO/Firmenwebsite","2026-08-16","https://resonanz-digital.at","","","","",""
"FONDA Interaktive Medien und Kommunikation GmbH","Alexander Reiberger, DI (FH) Johann Auer","","Neubaugasse 57/Top 36","1070","Wien","Webentwicklung/Digitalagentur","","Recherche","WKO/FirmenABC","2026-08-16","https://www.fonda.at","","","","",""
"Goober GmbH","Mag. Andrii Mihailovschii","+43 664 486 29 60","Frankenberggasse 14/8","1040","Wien","App-/Web-/Softwareentwicklung","","Recherche","WKO/Firmenwebsite","2026-08-16","https://goober.at","","","","",""
"creative workline GmbH","DI (FH) Klemens Zleptnig","+43 1 3059571","Pyrkergasse 37/9","1190","Wien","App-Entwicklung","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.creativeworkline.at","","","","",""
"X1 Mesh WEB GmbH","Meriton Shurdhani","+43 676 6559798","Zimmermanngasse 8","1090","Wien","Webentwicklung/Digitalagentur","","Recherche","Firmenwebsite","2026-08-16","https://www.web-austria.at","","","","",""
"bitsfabrik GmbH","DI Andreas Mutsch-Regner, Mag. DI Patrick Kastner","+43 660 870 96 73","Schönbrunner Straße 131/2/1","1050","Wien","App-Entwicklung/Digitalagentur","10-49","Recherche","WKO/Firmenwebsite","2026-08-16","https://bitsfabrik.com","","","","",""
"bizSoft Business Software GmbH","Daniel Sumak / Elke Jöbstl","+43 1 226 50 10","Opernring 1, Top R745-747","1010","Wien","Softwareentwicklung (Business-Software)","","Recherche","WKO/Herold","2026-08-16","https://www.bizsoft.at/","","","","",""
"EUVIC Software GmbH","Maximilian Würfl / Christian Steindl","+43 664 963 26 60","Ungargasse 37","1030","Wien","Softwareentwicklung","","Recherche","WKO/Herold","2026-08-16","https://www.euvic.at/","","","","",""
"PROMAN Software GmbH","Roland Pezzei","+43 1 478 05 67","Lienfeldergasse 12/Top 1","1160","Wien","Softwareentwicklung (Projektmanagement-Software)","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.proman.at/","","","","",""
"andromeda Software GmbH","Gabriele Fechter / Alexander Wegerer","+43 1 3484004","Grillgasse 46","1110","Wien","Softwareentwicklung (Immobilienverwaltung)","1-9","Recherche","Herold/Firmenwebsite","2026-08-16","https://www.andromeda.software/","","","","",""
"Anyline GmbH","Lukas Kinigadner","+43 1 9972856","Zirkusgasse 13/2b","1020","Wien","Softwareentwicklung (Computer Vision/OCR)","50-99","Recherche","WKO/firmenabc.at","2026-08-16","https://anyline.com/","","","","",""
"Prewave GmbH","Lisa Smith / Harald Nitschinger","+43 1 3050743","Favoritenstraße 116","1100","Wien","Softwareentwicklung (Supply-Chain-KI)","50-99","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.prewave.com/","","","","",""
"Adverity GmbH","Alexander Igelsböck / Martin Brunthaler","+43 1 8903155","Rathausstraße 1/2.OG","1010","Wien","Softwareentwicklung (Marketing-Data-Plattform)","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.adverity.com/","","","","",""
"CodingBase GmbH","Reinhard Bayer / Raphael Posch","+43 670 4094251","Kirchstetterngasse 7/6H","1160","Wien","Softwareentwicklung (Individualsoftware)","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.codingbase.at/","","","","",""
"Onlim GmbH","Alexander Wahler / Ioan Toma","+43 1 997 44 31","Neutorgasse 13/5","1010","Wien","Softwareentwicklung (Conversational AI)","","Recherche","Herold/Firmenwebsite","2026-08-16","https://onlim.com/","","","","",""
"Symptoma GmbH","Jama Nateqi / Thomas Lutz","","Seitenstettengasse 5/37","1010","Wien","Softwareentwicklung (medizinische KI-Software)","","Recherche","Herold/firmenabc.at","2026-08-16","https://www.symptoma.com/","","","","",""
"Necture GmbH (vormals Parkbob GmbH)","Christian Adelsberger","+43 1 3321771","Papagenogasse 1A","1060","Wien","Softwareentwicklung (Mobility-/Parking-Data)","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.necture.com/","","","","",""
"Schwarz & Schwarz EDV GmbH","Thomas Schwarz / Reinhard Schwarz","+43 1 796 86 75","Am Belvedere 8","1100","Wien","Softwareentwicklung/IT-Dienstleistung","10-49","Recherche","firmenabc.at/Firmenwebsite","2026-08-16","https://www.schwarz-edv.com/","","","","",""
"Mi'pu'mi Games GmbH","Gregor Eigner / Martin Filipp","+43 1 5047517","Lassallestraße 3/7/1","1020","Wien","Softwareentwicklung (Games)","50-99","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.mipumi.com/","","","","",""
"AlpenSys IT Solutions GmbH","Tarak Dave","","Donau-City-Straße 7, DC Tower, 30. Stock","1220","Wien","Softwareentwicklung (Individualsoftware)","","Recherche","firmenabc.at/Firmenwebsite","2026-08-16","https://alpensys.at/","","","","",""
"A-Trust Gesellschaft für Sicherheitssysteme im elektronischen Datenverkehr GmbH","Ing. Dr. Markus Vesely / DI Sven Glöckner","+43 1 713 21 51-0","Landstraßer Hauptstraße 1b","1030","Wien","Trust Service Provider / PKI (eID, digitale Signatur)","","Recherche","Firmenwebsite/WKO","2026-08-16","https://www.a-trust.at","","","","",""
"CyberTrap Software GmbH","Adi Reschenhofer","+43 1 890 4700","Gertrude-Fröhlich-Sandner-Straße 2-4","1100","Wien","Cybersecurity (Deception Technology)","10-49","Recherche","Firmenbuch/firmenabc.at","2026-08-16","https://www.cybertrap.com","","","","",""
"Nessus GmbH","Florian Schicker","+43 1 3360006","Fernkorngasse 10/3/501","1100","Wien","Rechenzentrum / Hosting / Cloud-Provider","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.nessus.at","","","","",""
"Semerad IT Consulting GmbH","Stefan Semerad","+43 1 9971333","Schönbrunnerstraße 293/4/3","1120","Wien","IT-Security Consulting","1-9","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.semerad.at","","","","",""
"clever data gmbh","DI Kurt Berthold","+43 664 61415 23","Danhausergasse 9/Top 3","1040","Wien","Datenschutz-IT / IT-Sicherheitsberatung","","Recherche","Herold/Firmenwebsite","2026-08-16","https://www.cleverdata.at","","","","",""
"e-commerce monitoring GmbH (GLOBALTRUST)","Emmanouil Kontos","+43 1 5320944","Lamezanstraße 4-8","1230","Wien","Trust Service Provider / PKI-Zertifizierung","","Recherche","Firmenwebsite","2026-08-16","https://globaltrust.eu","","","","",""
"CD Security Technologies GmbH (CyberDanube)","Dipl.-Ing. Mario-Valentin Trompeter","","Mariahilfer Straße 136/Top 1.07","1150","Wien","OT/IoT Cybersecurity, Penetrationstests","","Recherche","WKO/Firmenwebsite","2026-08-16","https://cyberdanube.com","","","","",""
"EYECOON GmbH","Rudolf Periny","+43 1 512 12 22 11","Herrengasse 1-3","1010","Wien","Datenschutz-IT / Information Security Training","","Recherche","Firmenwebsite","2026-08-16","https://privacycenter.at","","","","",""
"hubovsky.net IT Services GmbH","DI Rainer Hubovsky","+43 1 94 60 554","Czerninplatz 7/1/R1","1020","Wien","Managed Security Service Provider (MSSP)","","Recherche","Firmenwebsite","2026-08-16","https://www.hubovsky.net","","","","",""
"erp competence GmbH","Richard Stubenvoll","+43 1 911946415","Rosentalgasse 53","1140","Wien","ERP-Beratung","","Recherche","firmenabc.at/herold.at","2026-08-16","https://erp-competence.com","","","","",""
"easyconsult GmbH","","+43 1 9962124","Museumsstraße 5/1/17","1070","Wien","IT-Beratung (Microsoft Dynamics 365)","","Recherche","WKO/Firmenwebsite","2026-08-16","https://easyconsult.at","","","","",""
"makeit information systems GmbH","DI Armin Fürst","+43 1 5137356-0","Leonard-Bernstein-Straße 10","1220","Wien","IT-Beratung","","Recherche","WKO/Firmenwebsite","2026-08-16","https://makeit.at","","","","",""
"Camino - IT Consulting GmbH","Peter J. Gyimesi","+43 1 369345-1450","Billrothstraße 2A","1190","Wien","IT-Beratung","10-49","Recherche","firmenabc.at/Firmenwebsite","2026-08-16","https://camino.at","","","","",""
"werom IT-Consulting GmbH","Roman Balla","+43 660 2220231","Taborstraße 57","1020","Wien","IT-Beratung","","Recherche","firmenabc.at/Firmenwebsite","2026-08-16","https://werom.at","","","","",""
"ignitix IT Consulting GmbH","Klaus Radatz","+43 1 3197051","Roßauer Lände 25/7","1090","Wien","IT-Beratung","","Recherche","WKO/firmenabc.at","2026-08-16","https://ignitix.com","","","","",""
"Software GmbH Österreich","Cédric Ros (Josef Utz gewerberechtlicher GF)","+43 1 329500","Hegelgasse 13","1010","Wien","IT-Dienstleistung / Softwareentwicklung","","Recherche","Herold / Firmenbuch (FN 51421w)","2026-08-23","","","","","",""
"VIVO IT Beratung und Dienstleistungs GmbH","Mag. Thomas Rathammer","+43 1 240 90 30-0","Rathausstraße 11/2. OG","1010","Wien","IT-Beratung / Softwarelösungen","","Recherche","Firmenwebsite, Herold","2026-08-23","https://www.vivo-it.com","","","","",""
"Webmozarts GmbH","Bernhard Schussek","+43 1 8906111","Rotenturmstraße 27/2","1010","Wien","Software- und App-Entwicklung","1-9","Recherche","Firmenwebsite, WKO","2026-08-23","https://webmozarts.com","","","","",""
"IT@WORK GmbH","","+43 1 89 00 838 10","Degengasse 70/3/1B","1160","Wien","IT-Dienstleistungen / IT-Beratung","","Recherche","Firmenwebsite Impressum, firmeninfo.at","2026-08-23","http://it-work.at","","","","",""
"AngelStone Media GmbH","Christoph Angel, Georg Steiner","+43 664 23 89 080","Wipplingerstraße 29/5","1010","Wien","Software, KI & Webdesign","","Recherche","Firmenwebsite Impressum (FN 465367p)","2026-08-23","https://www.angelstone.at","","","","",""
"CONCEDIS Digitalagentur GmbH","Ronald Kiss","+43 1 997 43 81","Schönbrunner Straße 120","1050","Wien","Digitalagentur / Webentwicklung","","Recherche","Firmenwebsite Impressum, WKO (FN 450587d)","2026-08-23","https://www.concedis.net","","","","",""
"IMPIT GmbH","Robert Walcher, Werner Wagner","+43 1 3630 330","Talpagasse 1a","1230","Wien","IT-Beratung & Consulting Services für KMU/NPO","","Recherche","Firmenwebsite Impressum, Herold","2026-08-23","https://www.impit.at","","","","",""
"ITSM Partner Consulting GmbH","Richard Friedl","+43 699 18 88 99 22","Engerthstraße 90","1200","Wien","IT-Consulting (ITSM/IT Service Management)","","Recherche","Firmenwebsite Impressum (FN 261140f)","2026-08-23","https://www.itsmpartner.at","","","","",""
"Axtesys Digitalisierungsberatung GmbH","Lorenz Moser, Paul Klima","+43 660 1992870","Otto-Bauer-Gasse 3/13","1060","Wien","Digitalisierungsberatung / Softwareentwicklung","","Recherche","Firmenwebsite Impressum, WKO (FN 619573m)","2026-08-23","https://www.axdibe.at","","","","",""
"SOFTCOM CONSULTING GmbH","Mag. Thomas Rathammer, Mag. Gerald Stockinger, Dipl.Ing. Gerhard Burziwal, Markus Caletka","+43 1 815 79 30","Marc-Aurel-Straße 10-12/1. OG","1010","Wien","IT-Consulting / Softwareentwicklung","","Recherche","WKO Firmen A-Z, Firmenwebsite (FN 105965g)","2026-08-23","https://softcom.digital","","","","",""
"Novarion Systems GmbH","Georg Gesek","+43 1 5441159-0","Kranichberggasse 6","1120","Wien","IT-Infrastruktur / Server- und Rechenzentrumslösungen","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","http://www.novarion.com","","","","",""
"intelli.solution EDV-Dienstleistung GmbH","","+43 1 897 4040 0","Thürnlhofstraße 9/1/4","1110","Wien","IT-Dienstleistung / Systemhaus","","Recherche","Herold, WKO, Firmenwebsite","2026-08-23","https://www.intellisolution.at","","","","",""
"Build-it IT-Infrastruktur und Baulösungen GmbH","Ewald Weißkircher","+43 1 4191317","Richard-Neutra-Gasse 10","1210","Wien","IT-Infrastruktur (Rechenzentrumsbau/-ausstattung)","","Recherche","WKO Firmen A-Z, Herold","2026-08-23","https://www.buildit.at","","","","",""
"IT-Kommunal GmbH","Dr. Ronald Sallmann","+43 1 89 00 919","Nordbergstraße 6/9","1090","Wien","IT-Dienstleistung / Digitalisierung","","Recherche","WKO Firmen A-Z (FN 295183v)","2026-08-23","http://www.it-kommunal.at","","","","",""
"RUBICON IT GmbH","Ing. Peter Grassnigg, MSc","+43 1 5332555-0","Gonzagagasse 16","1010","Wien","IT-Dienstleistung / Managed Services","","Recherche","WKO Firmen A-Z, Firmenwebsite (FN 615231b)","2026-08-23","https://www.rubicon.eu","","","","",""
"ristl.IT GmbH","Florian Ristl","+43 1 934 69 82-0","Salztorgasse 7/16","1010","Wien","Managed Service Provider (B2B IT-Betreuung)","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.ristl.it","","","","",""
"EDV WRUHS IT Dienstleistungen GmbH","Andreas Wruhs","+43 1 5220434","Lenaugasse 9","1080","Wien","IT-Dienstleistung / IT Service Provider","","Recherche","WKO Firmen A-Z, Firmenbuch (FN 252435d)","2026-08-23","https://www.edv.wruhs.at","","","","",""
"Comm-IT EDV DienstleistungsgmbH","Dennis Wagner","+43 1 205 210","Adamsgasse 1/20","1030","Wien","IT- und Telekommunikationsdienstleistungen","","Recherche","WKO Firmen A-Z, Firmenwebsite (FN 342433d)","2026-08-23","https://comm-it.at","","","","",""
"B-IT Consulting GmbH","Lukas Zügner","+43 1 7291071 0","Handelskai 388/552","1020","Wien","IT-Dienstleistung / IT-Consulting","21-49","Recherche","WKO Firmen A-Z (FN 248854m), Firmenwebsite","2026-08-23","https://b-it.com","","","","",""
"CLOUDPILOTS Austria GmbH","Bernhard Fieglmüller","+43 1 2530349","Canettistraße 5","1100","Wien","Cloud-Beratung (Google Cloud Premier Partner)","","Recherche","Firmenwebsite Impressum, Herold","2026-08-23","https://www.cloudpilots.com","","","","",""
"Securitects - Cyber Security Services GmbH","DDI Herbert Brunner, CISA","+43 1 717 28 979","Gertrude-Fröhlich-Sandner-Straße 3","1100","Wien","IT-Security / Cybersecurity","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.securitects.com","","","","",""
"nokru.net Cybersecurity GmbH","Ing. Lukas Waldenberger, MSc MSc","+43 664 4666259","Rissaweggasse 2/88","1100","Wien","Cybersecurity / Sicherheitsarchitektur","","Recherche","Firmenwebsite Imprint, Herold, WKO","2026-08-23","https://nokru.net","","","","",""
"WhizUs GmbH","Erik Johann Auer","+43 660 6649924","Kirchenplatz 6, Stiege 3, Tür 2","1230","Wien","DevOps- und Kubernetes-Consulting / Cloud Native","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.whizus.com","","","","",""
"Cloudwerkstatt GmbH","Ing. Markus Plank, Cristian Todea","+43 1 9466033","Reisnerstraße 13/6","1030","Wien","Cloud-Services / IT-Betreuung","","Recherche","Firmenwebsite Impressum, WKO","2026-08-23","https://www.cloudwerkstatt.com","","","","",""
"CertMe GmbH","Eduard Senn","+43 1 2660140","Heiligenstädter Lände 29/DG","1190","Wien","IT-Security / Informationssicherheit (ISO27001, NIS2)","","Recherche","Firmenwebsite Impressum, Herold","2026-08-23","https://certme.at","","","","",""
"net-cloud GmbH","Wolfgang Peschta","+43 1 3308836","Ignaz-Köck-Straße 1/2.OG","1210","Wien","Cloud-Services / Hosting / VoIP","","Recherche","Herold, WKO, Firmenwebsite","2026-08-23","https://www.net-cloud.at","","","","",""
"Auvaria Group GmbH","Andreas Tschauner, BSc; Dipl.-Ing. Daniel Linhart","+43 664 1267783","Viktorgasse 14/2/1","1040","Wien","Cloud-Beratung / AWS Advisory, Consulting & Engineering","","Recherche","Firmenwebsite Impressum, Herold, WKO","2026-08-23","https://www.auvaria.com","","","","",""
"SQUER Solutions GmbH","Manuel Klein","+43 676 849963203","Althanstraße 4/3/63","1090","Wien","Cloud/DevOps/Kubernetes-Beratung (AWS Selected Tier Partner)","","Recherche","Firmenwebsite, firmeninfo.at, WKO","2026-08-23","https://www.squer.io","","","","",""
"CIS - Certification & Information Security Services GmbH","Klaus Veselko","+43 1 5329890-0","Salztorgasse 2/6/14","1010","Wien","IT-Security / Informationssicherheits-Zertifizierung","","Recherche","firmeninfo.at, firmenabc.at, Firmenwebsite","2026-08-23","https://www.cis-cert.com","","","","",""
"IT FINANCE CONSULTING GmbH","Paul Lubusch, Andreas Kiss, Claus Hoffmann","+43 1 5045050","Operngasse 6/Top 4","1010","Wien","IT-Consulting (Finance-/Leasing-IT)","","Recherche","Herold, Firmenwebsite Impressum","2026-08-23","https://itfc.at","","","","",""
"ITech Consulting GmbH","","0676 5344204","Graf-Starhemberg-Gasse 7/23","1040","Wien","IT-Consulting","","Recherche","Herold, Firmenwebsite Impressum","2026-08-23","https://itech.co.at","","","","",""
"hartwig IT Consulting GmbH","Christian Hartwig","+43 1 715 70 01-11","Strohgasse 13","1030","Wien","IT-Consulting","","Recherche","Firmenabc, Firmenwebsite","2026-08-23","https://hartwig.at","","","","",""
"NAVAX Consulting GmbH","Oliver Krizek, Dr. Björn Heppner","+43 50 83 83 0","Technologiestraße 8 (Euro Plaza)","1120","Wien","ERP/CRM-Beratung (Microsoft Dynamics)","","Recherche","Herold, Firmenwebsite","2026-08-23","https://navax.com","","","","",""
"LOGIN EDV-Software, Beratung und Training GmbH","Michael Ruzek","01 5865897 0","Emil Fucik-Gasse 1, Top 2-11","1100","Wien","IT-Schulung / IT-Beratung","","Recherche","Firmenabc, Herold","2026-08-23","https://login-software.net","","","","",""
"KOMMA99 GmbH","Marcus Kemethofer, Nico Hinger, BA MSc","+43 660 774 5874","Rohrweihenweg 36","1220","Wien","Digitalagentur / Online-Marketing","","Recherche","Firmenbuch (FN 635041i)","2026-08-23","https://komma99.at","","","","",""
"Symbionis Software, Skills & Technologies GmbH","Gabriela Hillebrand","+43 1 7866496","Liechtensteinstraße 95/Top 17","1090","Wien","IT-Consulting / Softwareentwicklung","","Recherche","Firmenbuch (FN 283539w), Firmenwebsite","2026-08-23","https://symbionis.at","","","","",""
"IT Beratungs- und Wirtschaftsprüfungsgesellschaft mbH","Mag. Bernhard Rothenbuchner, Mag. Martin Seidl","+43 1 503 58 70","Schwindgasse 4/7","1040","Wien","IT-Consulting / IT-Prüfung","","Recherche","Firmenwebsite Impressum","2026-08-23","https://it-pruefung.co.at","","","","",""
"the update training GmbH","","+43 1 90633","Shuttleworthstraße 14","1210","Wien","IT-Schulung","","Recherche","Firmenwebsite Impressum","2026-08-23","https://updatetraining.at","","","","",""
"Finmatics GmbH","Mag. Christoph Prieler, Dr. Markus Gremmel","+43 1 9974163","Lindengasse 41","1070","Wien","Fintech-Software (KI-Buchhaltungsautomatisierung)","","Recherche","WKO Firmen A-Z, firmenabc.at, Firmenwebsite","2026-08-23","https://www.finmatics.com","","","","",""
"Riddle & Code GmbH","Kai Siefert, MBA; John Olaf Calian","+43 1 2057740039","Gertrude-Fröhlich-Sandner-Straße 2-4/Tower 9","1100","Wien","IoT/Blockchain-Software","","Recherche","firmenabc.at, Northdata, Firmenwebsite","2026-08-23","https://riddleandcode.com","","","","",""
"byrd technologies GmbH","","+43 720 231220","Wiedner Hauptstraße 24/12a","1040","Wien","Logistik-SaaS (E-Commerce-Fulfillment-Software)","","Recherche","Herold, WKO Firmen A-Z","2026-08-23","https://www.getbyrd.com","","","","",""
"UBIMET GmbH","Dr. Michael Fassnauer","+43 1 263 11 22 0","Donau-City-Straße 11","1220","Wien","Wetterdaten- und Analytics-Software","","Recherche","WKO Firmen A-Z, Firmenwebsite Impressum","2026-08-23","https://www.ubimet.com","","","","",""
"FoodNotify GmbH","Mag. Thomas Primus","+43 1 2672404","Stella-Klein-Löw-Weg 8","1020","Wien","Gastronomie-SaaS-Software (F&B-Management)","","Recherche","Herold, WKO Firmen A-Z, Firmenwebsite","2026-08-23","https://www.foodnotify.com","","","","",""
"Chatlyn GmbH","","+43 676 5607776","Renngasse 4/R4-4","1010","Wien","KI-SaaS für Hospitality (Kommunikationsplattform)","","Recherche","Herold, WKO Firmen A-Z, Firmenwebsite Impressum","2026-08-23","https://chatlyn.com","","","","",""
"Ares Genetics GmbH","","+43 1 361 888 030","Karl-Farkas-Gasse 18","1030","Wien","KI-gestützte Genomanalyse/Diagnostik-Software","","Recherche","AdvantageAustria, Life Sciences Directory Austria","2026-08-23","https://www.ares-genetics.com","","","","",""
"EnliteAI GmbH","Johannes Stumtner, MA; Clemens Wasner","+43 664 3451470","Wollzeile 24","1010","Wien","AI/ML-Software (Reinforcement Learning)","","Recherche","WKO Firmen A-Z, Firmenwebsite Impressum","2026-08-23","https://enlite.ai","","","","",""
"Broken Rules, Interactive Media GmbH","Felix Bohatsch, BSc MA","+43 1 4420114","Museumsplatz 1/1/2","1070","Wien","Gaming/Software-Studio","","Recherche","Herold, WKO Firmen A-Z, Firmenwebsite","2026-08-23","https://brokenrul.es","","","","",""
"Latido Health Tech GmbH","Stefan Speiser","+43 1 9969119","Schreyvogelgasse 2","1010","Wien","Healthtech-Software (Praxissoftware für Wahlärzte)","","Recherche","Firmenwebsite Impressum, firmenabc.at","2026-08-23","https://latido.at","","","","",""
"vipaso GmbH","","+43 1 3090710","Leonard-Bernstein-Straße 10/16","1220","Wien","Fintech-Software (Mobile-Payment-Lösung)","","Recherche","WKO Firmen A-Z, Herold","2026-08-23","https://vipaso.io","","","","",""
"fonio GmbH","Daniel Keinrath, Matthias Gruber","+43 660 6029543","Neustiftgasse 73/Stiege 3/7","1070","Wien","AI/ML-Software (KI-Telefonassistenten)","","Recherche","Herold, WKO Firmen A-Z","2026-08-23","https://www.fonio.ai","","","","",""
"Software Daten Service Gesellschaft m.b.H.","Marcus Gaube, Ernst Kendlbacher","+43 1 24056-0","Rennweg 97-99","1030","Wien","Bankensoftware / Wertpapierabwicklung","173","Recherche","Northdata/Firmenwebsite","2026-08-30","sds.at","46100000","","","2024","Northdata"
"Mesonic Softwareentwicklung GmbH","Georg Alexander Kaes","","Kohlmarkt 1","1010","Wien","ERP/CRM-Softwareentwicklung","","Recherche","Northdata/FirmenABC","2026-08-30","mesonic.com","","","204599.6","2024","Northdata"
"ADES - Echtzeitdatenverarbeitungssysteme-Gesellschaft m.b.H.","Leopold Wagner","","Lange Gasse 65/9","1080","Wien","Individualsoftware für Energie/Umwelt/Verkehr","18","Recherche","Northdata/FirmenABC","2026-08-30","ades.at","1800000","","","2023","Northdata"
"Alpega TMS Austria SaaS GmbH","Julia Seidl, Christian Mayer","+43 5572 7374 0","Rothschildplatz 3/6.OG","1020","Wien","SaaS Transport-Management-Software (Logistik)","","Recherche","Northdata/WKO","2026-08-30","alpegagroup.com","","","4434062","2024","Northdata"
"joyn - it informationstechnologie gmbh","Roland Willhalm, Wolfgang Reisenbichler","","Mariahilfer Straße 52","1070","Wien","Individualsoftware / IT-Lösungen","22","Recherche","Northdata/Firmenauskunft","2026-08-30","joyn-it.at","2600000","","","2024","Northdata"
"BEG Computerservice GmbH","Gerhard Freywald","+43 1 6154000","Ernst-Krenek-Gasse 4","1230","Wien","Computerservice / IT-Systemhaus","","Recherche","WKO/Northdata","2026-08-30","https://beg.at","","","2206","2025","Northdata"
"at iT Informationstechnologie GmbH","Richard Stubenvoll","","Hermesstrasse 22","1130","Wien","IT-Systemhaus / Software für Rechnungswesen","","Recherche","WKO/Northdata/herold.at","2026-08-30","https://www.atit.at","","","14492","2024","Northdata"
"CBRA Digital GmbH","Ing. Claudia Brandl, MSc","+43 670 650 1016","Radetzkystraße 12/13A","1030","Wien","Digitalagentur / Webentwicklung","","Recherche","WKO/Northdata/Firmenwebsite","2026-08-30","https://cbra.digital","","66731","11379","2024","Northdata"
"weCreate Data GmbH","Johannes Ruisinger","","Obere Augartenstraße 2/24","1020","Wien","Werbeagentur / Digitalagentur","10-19","Recherche","WKO/Northdata","2026-08-30","","","-1001599","13982","2024","Northdata"
"Ecosio GmbH","Dr. Christoph Ebm, Dr. Philipp Liegl, Dr. Marco Zapletal","","Wiedner Gürtel 9","1100","Wien","EDI / B2B-Integration & E-Invoicing SaaS","","Recherche","WKO/Northdata","2026-08-30","https://ecosio.com","","","940281","2024","Northdata"
"CyberACI GmbH","Ing. Asif Safdary","","Lindengasse 56/18-19","1070","Wien","IT-Dienstleistungen / Cybersecurity","","Recherche","WKO/Northdata","2026-08-30","","","3748","19142","2024","Northdata"
"Deutsche Telekom Cyber Security Austria GmbH","Dipl.-Ing. Christopher Ehmsen, Mag. René Lichtkoppler","","Rennweg 97-99","1030","Wien","Cyber Security Services","","Recherche","WKO/Northdata","2026-08-30","https://business.telekom.com/at","","3003826","704330","2024","Northdata"
"Cloud Software Group Austria GmbH","Sajeev K. Sukumaran","","Donau-City-Straße 7/30. Stock","1220","Wien","Cloud-Software / Enterprise Software (vormals Citrix)","","Recherche","Northdata/Firmenabc","2026-08-30","https://www.cloud.com","","145600","1276","2024","Northdata"
"CyRiSo Cyber Risk Solutions GmbH","Mag. Christiana Bruckner, Michael Ganzwohl","","Deutschmeisterplatz 4","1010","Wien","Cybersecurity-Beratung (VIG-Tochter)","","Recherche","WKO/wirtschaft.at","2026-08-30","https://cyriso.at","","-309964","3894","2024","Northdata"
"42.eu Software GmbH","Michael Milkowits","","Landstraßer Gürtel 11/20","1030","Wien","Softwareentwicklung / Handelssoftware","","Recherche","WKO/Northdata","2026-08-30","","","","","",""
"KLINZINGER SOFTWARE GmbH","Lukas Klinzinger","","Pater-Schwartz-Gasse 11a","1150","Wien","SaaS-Softwareentwicklung (One-Man SaaS Factory)","1","Recherche","WKO/Northdata","2026-08-30","klinzinger.com","","","","",""
"peopleX Software GmbH","Philipp Brunner","","Obere Donaustraße 33","1020","Wien","Individualsoftware für Arbeitsmarktpolitik","","Recherche","WKO/Northdata","2026-08-30","peoplex.at","","","","",""
"PEAK SaaS GmbH","Dominik Holter","","Piaristengasse 56","1080","Wien","SaaS E-Commerce-Plattform","","Recherche","WKO/FirmenABC","2026-08-30","","","","","",""
"RIB SAA Software Engineering GmbH","Christian Hanser, Robert Neubauer","+43 1 6414247-0","Gudrunstraße 184/4","1100","Wien","Software für Bau- und Fertigteilindustrie","","Recherche","WKO/Northdata","2026-08-30","saa.at","","","","",""
"pemundo GmbH","Martin Sulzbacher, Christina Mokoru","+43 676 3961730","Steingasse 4/18","1030","Wien","HR-SaaS-Software","","Recherche","WKO/Northdata","2026-08-30","pemundo.com","","","","",""
"WeDev-IT GmbH","Özgür Deli","","Floridsdorfer Hauptstraße 1/Top T20b","1210","Wien","Individualsoftware / IT-Consulting","1","Recherche","WKO/FirmenABC","2026-08-30","wedev-it.at","","","","",""
"PROPUP GmbH","Michael Reikersdorfer","","Marxergasse 17/1/33-34","1030","Wien","PropTech-SaaS für Immobilienbranche","","Recherche","WKO/evi.gv.at","2026-08-30","propup.at","","","","",""
"Clickservice GmbH","Hajro Plaku","0676 4963034","An den Alten Schanzen 25/49","1220","Wien","Softwareentwicklung / E-Commerce","5-9","Recherche","WKO/Firmenwebsite","2026-08-30","clickservice.at","","","","",""
